Programming Language,Median Salary
Clojure,74000.0
Elixir,70606.06060606061
Go,68181.8181818182
Rust,67269.98491704375
F#,66329.18552036199
Perl,64516.1290322581
Groovy,63492.3899629782
Ruby,62903.2258064516
Scala,62500.0
CoffeeScript,62250.0
